bathrooms,house_condition,house_grade,schools_nearby,built_year,house_area,living_area,inflation_rate,bedrooms,floors,living_area,price
2,4,8,1,1953,1290,1960,0.4,3,1,1960,527000
3,4,8,1,1969,1740,3050,0.4,4,1,3050,867000
2,3,6,1,1948,1530,1750,0.4,3,1,1750,420750
1,3,6,1,1938,500,1350,0.4,1,1,1350,212500
1,3,6,1,1943,990,1560,0.4,2,1,1560,304300
2,3,6,1,1948,1700,1350,0.4,3,1,1350,416500
2,3,6,1,1950,1180,2090,0.4,3,1,2090,455600
2,4,8,1,1957,1390,2180,0.4,3,1,2180,600100
2,4,8,1,1957,860,1240,0.4,3,1,1240,603500
1,4,8,1,1963,1030,1170,0.4,2,1,1170,722500
3,4,8,1,1967,1370,2820,0.4,3,1,2820,821057.5
2,4,8,1,1963,1280,2200,0.4,3,1,2200,727600
2,4,8,1,1963,1300,1850,0.4,3,1,1850,730915
2,3,6,1,1951,1040,2080,0.4,3,1,2080,476000
2,4,8,1,1967,1920,1580,0.4,4,1,1580,816000
1,3,6,1,1942,1050,960,0.4,2,1,960,294100
2,4,8,1,1956,840,1800,0.4,4,1,1800,578000
3,4,8,1,1964,1610,2470,0.4,4,1,2470,744345
2,4,8,1,1965,1270,2030,0.4,4,1,2030,775200
3,4,8,1,1962,1080,1310,0.4,5,1,1310,710600
1,3,6,1,1951,1130,1810,0.4,3,1,1810,488750
3,4,8,1,1971,1700,2530,0.4,4,1,2530,892500
1,3,6,1,1939,1120,1320,0.4,3,1,1320,229500
1,3,6,1,1951,1060,1460,0.4,2,1,1460,477700
1,3,6,1,1951,940,940,0.4,3,1,940,476000
3,4,8,1,1971,1380,1300,0.4,3,1,1300,897600
2,4,8,1,1961,1420,2020,0.4,3,1,2020,697000
3,4,8,1,1967,1140,1740,0.4,4,1,1740,807500
2,4,8,1,1961,1720,1720,0.4,3,1,1720,686800
1,3,6,1,1947,1000,1420,0.4,3,1,1420,387600
3,4,8,1,1970,1300,2330,0.4,3,1,2330,877200
3,4,8,1,1957,1100,1340,0.4,5,1,1340,600100
2,3,6,1,1949,1040,1290,0.4,3,1,1290,438600
2,3,6,1,1948,1360,1360,0.4,3,1,1360,416330
1,3,6,1,1945,1330,1530,0.4,3,1,1530,355300
1,4,8,1,1956,860,1450,0.4,2,1,1450,578000
2,4,8,1,1957,1280,1230,0.4,3,1,1230,603500
2,4,8,1,1956,1320,1820,0.4,4,1,1820,595000
1,4,8,1,1960,1460,1470,0.4,3,1,1470,678300
3,4,8,1,1967,1150,1550,0.4,3,1,1550,807500
3,4,8,1,1964,1360,1820,0.4,5,1,1820,759815
2,4,8,1,1961,1920,1920,0.4,3,1,1920,680000
1,4,8,1,1961,720,1430,0.4,2,1,1430,685100
3,4,8,1,1959,2360,1870,0.4,4,1,1870,654500
3,4,8,1,1966,1220,1820,0.4,4,1,1820,792200
2,3,6,1,1949,1240,1600,0.4,3,1,1600,442000
1,4,8,1,1962,1400,1570,0.4,2,1,1570,714000
1,4,8,1,1969,960,1570,0.4,2,1,1570,860200
3,4,8,1,1960,2160,2290,0.4,3,1,2290,662830
3,4,8,1,1966,1030,1740,0.4,3,1,1740,790500
2,3,6,1,1945,1440,1580,0.4,3,1,1580,357000
2,4,8,1,1956,970,1550,0.4,2,1,1550,594830
2,4,8,1,1957,1080,1590,0.4,3,1,1590,606900
4,4,8,1,1961,1760,2400,0.4,3,1,2400,697000
3,4,8,1,1963,1630,1770,0.4,3,1,1770,722500
3,4,8,1,1964,1810,2580,0.4,4,1,2580,748000
2,3,6,1,1947,910,1410,0.4,3,1,1410,395930
1,4,8,1,1956,940,1700,0.4,2,1,1700,583100
3,4,8,1,1956,1540,1480,0.4,3,1,1480,578000
2,4,8,1,1956,1740,1560,0.4,3,1,1560,595000
1,3,6,1,1946,970,1150,0.4,3,1,1150,372300
1,4,8,1,1953,1010,1390,0.3,3,1,1390,527000
3,4,8,1,1959,1130,1940,0.3,3,1,1940,645796
1,3,6,1,1947,720,1510,0.3,2,1,1510,399500
2,4,8,1,1962,1380,2030,0.3,3,1,2030,714000
2,4,8,1,1959,1750,2010,0.3,6,1,2010,639030
2,4,8,1,1960,1080,1120,0.3,3,1,1120,663000
3,4,8,1,1968,1110,2220,0.3,4,1,2220,841500
1,3,6,1,1947,1250,1720,0.3,3,1,1720,399500
2,3,6,1,1951,1580,1380,0.3,3,1,1380,484500
2,3,6,1,1950,1410,1830,0.3,3,1,1830,463250
2,3,6,1,1949,860,1120,0.3,2,1,1120,430100
2,3,6,1,1947,1530,1960,0.3,3,1,1960,399500
2,3,6,1,1950,1970,1970,0.3,3,1,1970,455600
2,4,8,1,1954,940,2060,0.3,3,1,2060,544000
1,3,6,1,1947,940,1200,0.3,2,1,1200,397800
3,4,8,1,1953,770,1680,0.3,3,1,1680,530400
2,3,6,1,1944,1180,1460,0.3,3,1,1460,328100
1,3,6,1,1945,1060,1060,0.3,3,1,1060,350200
2,4,8,1,1954,2250,1830,0.3,3,1,1830,552500
2,4,8,1,1963,1110,2130,0.3,3,1,2130,739500
3,4,8,1,1963,1110,1440,0.3,3,1,1440,722500
3,4,8,1,1967,1800,2480,0.3,3,1,2480,807330
3,4,8,1,1964,1200,1530,0.3,5,1,1530,764150
2,4,8,1,1961,1200,1510,0.3,3,1,1510,680000
2,3,6,1,1946,1200,1590,0.3,3,1,1590,378080
2,3,6,1,1951,1480,1520,0.3,2,1,1520,476000
1,3,6,1,1952,1170,1340,0.3,2,1,1340,501500
2,3,6,1,1948,1340,1520,0.3,3,1,1520,406300
1,3,6,1,1940,1320,1320,0.3,3,1,1320,255000
1,4,8,1,1964,1130,1260,0.3,2,1,1260,748000
2,4,8,1,1961,1370,1200,0.3,2,1,1200,696915
3,4,8,1,1963,1440,1870,0.3,3,1,1870,722500
1,3,6,1,1945,1110,1200,0.3,3,1,1200,357000
1,3,6,1,1946,1200,1200,0.3,3,1,1200,382500
2,4,8,1,1969,830,1580,0.3,3,1,1580,850000
3,4,8,1,1963,1110,2270,0.3,4,1,2270,731000
1,3,6,1,1946,1030,1470,0.3,3,1,1470,379100
3,4,8,1,1956,1470,1760,0.3,8,1,1760,578000
2,3,6,1,1948,1570,1890,0.3,3,1,1890,408000
1,3,6,1,1952,1190,1470,0.3,2,1,1470,503115
4,4,8,1,1970,1390,2150,0.3,5,1,2150,875500
2,3,6,1,1948,1770,1630,0.3,3,1,1630,425000
2,3,6,1,1950,1180,1720,0.3,3,1,1720,452030
3,3,6,1,1950,1200,2110,0.3,4,1,2110,449650
3,4,8,1,1961,1700,1370,0.3,4,1,1370,697000
3,4,8,1,1961,1300,2010,0.3,4,1,2010,680000
2,4,8,1,1963,1030,1780,0.3,3,1,1780,731000
2,4,8,1,1960,1900,1740,0.3,4,1,1740,663000
2,4,8,1,1960,1360,2250,0.3,5,1,2250,671500
1,4,8,1,1957,870,930,0.3,2,1,930,606900
2,3,6,1,1944,1050,1500,0.3,4,1,1500,336600
1,4,8,1,1958,860,1570,0.3,2,1,1570,629000
2,4,8,1,1953,1610,1720,0.3,4,1,1720,518330
1,3,6,1,1952,1440,2200,0.3,3,1,2200,493000
1,3,6,1,1936,660,850,0.3,2,1,850,170000
1,3,6,1,1950,1020,1470,0.3,3,1,1470,453900
1,3,6,1,1950,1020,1070,0.3,3,1,1070,450500
3,4,8,1,1970,1450,2140,0.3,3,1,2140,873800
3,4,8,1,1965,1590,2270,0.3,3,1,2270,782000
1,4,8,1,1955,720,1760,0.3,2,1,1760,561000
3,3,6,1,1952,1530,2640,0.3,3,1,2640,507790
2,3,6,1,1952,960,1830,0.3,3,1,1830,503200
1,4,8,1,1962,930,1770,0.3,2,1,1770,714000
2,4,8,1,1963,1070,1450,0.3,4,1,1450,739500
2,4,8,1,1967,1480,2100,0.3,3,1,2100,807500
1,4,8,1,1960,1000,1000,0.3,3,1,1000,663000
2,4,8,1,1969,1360,1440,0.3,3,1,1440,849915
2,3,6,1,1949,1150,1230,0.3,4,1,1230,439875
1,3,6,1,1948,1100,1020,0.3,3,1,1020,424830
1,4,8,1,1961,810,830,0.3,2,1,830,693600
2,4,8,1,1967,1080,1770,0.3,4,1,1770,810900
2,4,8,1,1968,1060,2070,0.3,2,1,2070,841500
1,4,8,1,1953,570,1530,0.3,1,1,1530,527000
1,4,8,1,1958,1010,2310,0.3,2,1,2310,637500
2,3,6,1,1947,980,1440,0.3,3,1,1440,391000
1,4,8,1,1967,1500,1440,0.3,3,1,1440,808350
2,4,8,1,1953,1000,1690,0.3,3,1,1690,516800
2,3,6,1,1950,860,1720,0.3,4,1,1720,467500
2,3,6,1,1951,1870,1870,0.3,3,1,1870,484500
1,3,6,1,1950,590,1380,0.3,2,1,1380,464100
2,3,6,1,1943,1170,1230,0.3,3,1,1230,314500
2,3,6,1,1950,1610,1600,0.3,3,1,1600,455600
3,4,8,1,1956,1970,2530,0.3,4,1,2530,595000
1,4,8,1,1957,1390,1290,0.3,2,1,1290,601800
2,4,8,1,1955,1340,1370,0.3,3,1,1370,564400
3,4,8,1,1970,1440,2030,0.3,4,1,2030,880600
2,4,8,1,1971,1170,1680,0.3,3,1,1680,895050
1,3,6,1,1949,780,1310,0.3,2,1,1310,433367.4
1,3,6,1,1945,1000,1320,0.3,3,1,1320,357000
2,4,8,1,1954,1760,1730,0.3,4,1,1730,544000
1,4,8,1,1955,880,1030,0.3,3,1,1030,569500
1,4,8,1,1953,780,1340,0.3,2,1,1340,527000
3,4,8,1,1960,1420,2300,0.3,3,1,2300,678300
3,4,8,1,1969,1690,1800,0.3,4,1,1800,850000
1,3,6,1,1945,750,1430,0.3,2,1,1430,362100
2,4,8,1,1965,1390,2410,0.3,3,1,2410,765000
2,4,8,1,1961,860,1240,0.3,2,1,1240,700400
2,3,6,1,1942,1020,1320,0.3,3,1,1320,280500
3,3,6,1,1952,1210,1480,0.3,3,1,1480,493000
1,4,8,1,1954,1010,1510,0.3,3,1,1510,532100
1,3,6,1,1952,1300,1880,0.3,2,1,1880,501500
1,4,8,1,1958,1110,1260,0.3,3,1,1260,628915
1,3,6,1,1948,800,1910,0.3,2,1,1910,425000
2,3,6,1,1948,1670,1670,0.3,3,1,1670,424915
3,3,6,1,1951,1110,1640,0.3,4,1,1640,471750
3,3,6,1,1950,1180,1520,0.3,3,1,1520,450500
2,3,6,1,1952,1560,2050,0.3,2,1,2050,493000
3,3,6,1,1948,1620,1910,0.3,3,1,1910,425000
1,3,6,1,1948,810,890,0.3,2,1,890,406215
1,3,6,1,1949,1040,1480,0.3,3,1,1480,430100
2,4,8,1,1955,1750,1820,0.3,5,1,1820,567800
1,3,6,1,1945,1230,1230,0.3,3,1,1230,357000
1,3,6,1,1942,1070,1190,0.3,3,1,1190,278800
2,4,8,1,1967,1730,2180,0.3,4,1,2180,816000
2,4,8,1,1963,1290,1820,0.3,4,1,1820,739500
2,4,8,1,1964,1530,1660,0.3,3,1,1660,760750
3,4,8,1,1965,1320,1550,0.3,4,1,1550,773500
2,4,8,1,1960,1950,1500,0.3,4,1,1500,671500
1,3,6,1,1944,790,1110,0.3,2,1,1110,321300
2,4,8,1,1967,2080,1670,0.3,5,1,1670,816000
2,4,8,1,1963,1660,1610,0.3,3,1,1610,732700
1,3,6,1,1947,1250,1250,0.3,3,1,1250,399500
1,3,6,1,1950,700,1060,0.3,3,1,1060,450500
2,4,8,1,1966,1070,1860,0.3,4,1,1860,800700
1,4,8,1,1966,840,1070,0.3,2,1,1070,805800
1,4,8,1,1967,950,1320,0.3,2,1,1320,819400
2,4,8,1,1961,1440,1990,0.3,3,1,1990,695300
1,3,6,1,1949,1020,1600,0.3,4,1,1600,442000
1,3,6,1,1947,1340,2090,0.3,3,1,2090,385900
2,3,6,1,1948,1190,2060,0.3,3,1,2060,408000
2,3,6,1,1948,1260,1800,0.3,2,1,1800,417452
3,3,6,1,1948,1140,1490,0.3,3,1,1490,408000
3,3,6,1,1948,1180,1930,0.3,3,1,1930,419900
1,4,8,1,1957,530,2830,0.3,1,1,2830,603500
3,3,6,1,1950,1090,1880,0.3,3,1,1880,461550
2,3,6,1,1949,1190,1960,0.3,4,1,1960,443700
1,4,8,1,1958,1140,2110,0.3,2,1,2110,621350
2,4,8,1,1956,1030,1160,0.3,3,1,1160,578000
3,4,8,1,1956,1570,1700,0.3,4,1,1700,595000
3,4,8,1,1971,1160,2020,0.3,4,1,2020,892500
1,3,6,1,1943,710,1320,0.3,2,1,1320,318325
3,4,8,1,1954,1280,2020,0.3,4,1,2020,548250
1,4,8,1,1954,1050,1440,0.3,3,1,1440,552500
2,4,8,1,1955,1070,2090,0.3,4,1,2090,561000
1,4,8,1,1956,1220,2790,0.3,2,1,2790,586500
2,4,8,1,1969,1300,1800,0.3,3,1,1800,850000
3,4,8,1,1961,1250,2140,0.3,5,1,2140,680000
3,4,8,1,1960,1450,2430,0.3,4,1,2430,679915
1,4,8,1,1964,790,1930,0.3,2,1,1930,743750
2,4,8,1,1954,1570,2010,0.3,3,1,2010,552500
2,4,8,1,1959,1190,2140,0.3,4,1,2140,642600
3,4,8,1,1963,1400,1830,0.3,3,1,1830,731000
2,3,6,1,1951,1090,2150,0.3,3,1,2150,484500
2,4,8,1,1954,1130,1540,0.3,3,1,1540,535500
3,4,8,1,1958,1570,2350,-0.3,3,1,2350,474500
1,3,6,1,1939,650,1630,-0.3,1,1,1630,167700
1,3,6,1,1939,790,1240,-0.3,1,1,1240,175500
3,3,6,1,1950,1000,1720,-0.3,3,1,1720,357500
2,4,8,1,1958,1420,1540,-0.3,3,1,1540,482300
1,4,8,1,1966,910,1370,-0.3,3,1,1370,604500
1,3,6,1,1952,560,1300,-0.3,1,1,1300,388700
2,3,6,1,1952,1670,2290,-0.3,3,1,2290,376935
2,4,8,1,1971,1540,1510,-0.3,3,1,1510,682500
2,3,6,1,1948,990,1220,-0.3,3,1,1220,312650
1,3,6,1,1951,960,1010,-0.3,2,1,1010,364000
2,3,6,1,1947,1770,1690,-0.3,3,1,1690,298350
2,3,6,1,1949,950,1790,-0.3,3,1,1790,339300
2,3,6,1,1941,1220,1790,-0.3,4,1,1790,210210
1,3,6,1,1942,1500,1700,-0.3,2,1,1700,221000
2,3,6,1,1952,1730,2030,-0.3,3,1,2030,379600
1,4,8,1,1955,1070,1390,-0.3,3,1,1390,425750
2,4,8,1,1955,1650,1750,-0.3,4,1,1750,425750
2,4,8,1,1953,1110,1290,-0.3,3,1,1290,403000
3,4,8,1,1967,2340,2700,-0.3,3,1,2700,630500
2,4,8,1,1968,920,1620,-0.3,3,1,1620,635700
2,4,8,1,1961,1530,2100,-0.3,3,1,2100,520000
3,3,6,1,1946,1150,1540,-0.3,3,1,1540,285935
2,4,8,1,1961,1130,2080,-0.3,3,1,2080,520000
1,3,6,1,1938,1170,1590,-0.3,3,1,1590,155350
2,4,8,1,1960,1190,1850,-0.3,3,1,1850,519935
2,4,8,1,1963,910,1450,-0.3,2,1,1450,568100
1,4,8,1,1960,1240,2220,-0.3,3,1,2220,507000
3,4,8,1,1965,1170,2280,-0.3,5,1,2280,589550
2,4,8,1,1958,1100,1600,-0.3,4,1,1600,487500
1,4,8,1,1958,820,1300,-0.3,2,1,1300,487500
1,3,6,1,1942,670,700,-0.3,2,1,700,227500
2,4,8,1,1957,950,1060,-0.3,2,1,1060,461500
1,4,8,1,1958,1250,1710,-0.3,2,1,1710,474500
2,3,6,1,1944,1750,1560,-0.3,5,1,1560,247000
1,3,6,1,1945,920,1170,-0.3,3,1,1170,276250
2,4,8,1,1961,1040,1340,-0.3,3,1,1340,535229.5
3,4,8,1,1960,1250,1280,-0.3,3,1,1280,507000
1,3,6,1,1950,770,770,-0.3,2,1,770,357500
1,4,8,1,1954,1210,1120,-0.3,3,1,1120,422435
1,4,8,1,1954,1010,960,-0.3,3,1,960,412100
3,4,8,1,1955,1600,1820,-0.3,4,1,1820,435500
2,4,8,1,1954,1130,1720,-0.3,3,1,1720,416000
1,4,8,1,1970,830,1460,-0.3,2,1,1460,674700
2,4,8,1,1954,1270,1890,-0.3,3,1,1890,409500
2,4,8,1,1955,1460,1550,-0.3,3,1,1550,429000
1,4,8,1,1955,1030,1030,-0.3,3,1,1030,429000
1,3,6,1,1949,1710,1310,-0.3,3,1,1310,331500
2,4,8,1,1959,620,1660,-0.3,3,1,1660,500500
1,4,8,1,1961,910,1040,-0.3,2,1,1040,520000
2,4,8,1,1964,1010,1520,-0.3,4,1,1520,574600
1,3,6,1,1949,570,2040,-0.3,2,1,2040,338000
1,3,6,1,1947,1180,1890,-0.3,1,1,1890,298350
2,3,6,1,1950,1240,1770,-0.3,3,1,1770,344500
1,3,6,1,1951,1040,1420,-0.3,3,1,1420,371345
2,4,8,1,1954,1210,1780,-0.3,3,1,1780,422500
1,3,6,1,1938,940,1290,-0.3,2,1,1290,158340
1,3,6,1,1949,810,1490,-0.3,2,1,1490,338780
1,3,6,1,1945,1020,2070,-0.3,3,1,2070,273000
1,4,8,1,1954,1060,2240,-0.3,2,1,2240,422500
2,4,8,1,1958,1280,1310,-0.3,4,1,1310,477620
2,4,8,1,1969,1190,1530,-0.3,3,1,1530,650000
1,4,8,1,1958,980,1280,-0.3,3,1,1280,487500
3,4,8,1,1959,1260,1760,-0.3,3,1,1760,500500
1,4,8,1,1959,1060,1300,-0.3,3,1,1300,500630
2,4,8,1,1961,1860,2500,-0.3,3,1,2500,520000
1,4,8,1,1962,880,1540,-0.3,2,1,1540,539500
2,4,8,1,1958,1170,2090,-0.3,6,1,2090,487500
1,4,8,1,1965,1180,1420,-0.3,2,1,1420,585000
2,4,8,1,1960,1850,1160,-0.3,3,1,1160,507000
2,4,8,1,1962,1430,1480,-0.3,3,1,1480,551200
2,4,8,1,1955,1500,1200,-0.3,3,1,1200,435500
1,3,6,1,1944,830,1300,-0.3,2,1,1300,260000
2,3,6,1,1947,900,1430,-0.3,3,1,1430,294450
2,3,6,1,1950,1840,1910,-0.3,3,1,1910,357435
2,3,6,1,1952,1060,1180,-0.3,3,1,1180,377000
1,4,8,1,1954,730,1020,-0.3,1,1,1020,422500
2,3,6,1,1947,1310,1530,-0.3,3,1,1530,299000
2,3,6,1,1950,1010,1850,-0.3,3,1,1850,357500
3,4,8,1,1970,1530,2400,-0.3,4,1,2400,669500
2,4,8,1,1971,1200,1600,-0.3,5,1,1600,686400
2,4,8,1,1971,1680,1880,-0.3,3,1,1880,689000
2,4,8,1,1971,1740,2100,-0.3,3,1,2100,689000
2,3,6,1,1948,1310,1310,-0.3,3,1,1310,312000
1,3,6,1,1940,1450,1680,-0.3,3,1,1680,195000
1,3,6,1,1943,720,1170,-0.3,1,1,1170,240500
2,3,6,1,1947,1760,1190,-0.3,3,1,1190,297700
1,3,6,1,1947,1160,1920,-0.3,5,1,1920,299000
1,3,6,1,1951,1040,1370,-0.3,3,1,1370,370500
3,4,8,1,1958,1360,1600,-0.3,4,1,1600,478400
3,3,6,1,1951,2350,1570,-0.3,5,1,1570,360820.2
2,4,8,1,1961,1380,1380,-0.3,3,1,1380,528359
2,4,8,1,1958,1260,1570,-0.3,3,1,1570,487500
1,4,8,1,1969,1180,1680,-0.3,3,1,1680,659100
2,4,8,1,1963,1040,1200,-0.3,3,1,1200,563550
1,4,8,1,1964,850,2160,-0.3,1,1,2160,572000
1,3,6,1,1942,480,890,-0.3,1,1,890,221000
1,3,6,1,1944,1220,1260,-0.3,3,1,1260,261300
2,4,8,1,1958,1310,1530,-0.3,3,1,1530,484900
1,4,8,1,1959,1180,1700,-0.3,3,1,1700,497901.3
2,4,8,1,1969,1010,2450,-0.3,3,1,2450,656500
1,4,8,1,1954,1160,1160,-0.3,3,1,1160,419250
1,4,8,1,1956,1240,1810,-0.3,3,1,1810,455000
1,3,6,1,1936,790,1380,-0.3,2,1,1380,130000
2,3,6,1,1952,1760,2590,-0.3,3,1,2590,383500
2,3,6,1,1944,1550,1760,-0.3,3,1,1760,259935
1,4,8,1,1969,980,1450,-0.3,3,1,1450,664300
2,4,8,1,1961,1120,1610,-0.3,4,1,1610,520000
4,4,8,1,1964,1270,1760,-0.3,6,1,1760,584350
3,4,8,1,1967,1530,1670,-0.3,3,1,1670,617500
2,4,8,1,1959,850,1620,-0.3,4,1,1620,492050
2,4,8,1,1968,1890,1920,-0.3,3,1,1920,643500
3,4,8,1,1961,2280,2280,-0.3,3,1,2280,533000
1,3,6,1,1948,1000,1340,-0.3,3,1,1340,313300
3,3,6,1,1947,1250,2070,-0.3,4,1,2070,305500
2,3,6,1,1952,1580,1460,-0.3,3,1,1460,375700
1,3,6,1,1946,940,1450,-0.3,2,1,1450,292500
2,4,8,1,1957,1360,1880,-0.3,4,1,1880,461500
1,3,6,1,1940,840,1260,-0.3,3,1,1260,196430
2,3,6,1,1950,1480,1450,-0.3,4,1,1450,357500
2,4,8,1,1956,1190,1300,-0.3,3,1,1300,453700
